,Company,TypeName,Inches,Ram,OpSys,Weight,Price,Resolution_Width,Resolution_Height,CPU Brand,CPU Series,CPU Frequency,Storage Capacity,Storage Type,Gpu_Brand,Gpu_Model
57,Asus,Notebook,15.6,4,Windows 10,2.0,31232.203200000004,1366.0,768.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
58,MSI,Gaming,17.3,16,Windows 10,2.43,130482.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,2256,Hybrid,Nvidia,GeForce GTX 1070
59,Asus,Notebook,15.6,4,Linux,2.0,22111.2,1920.0,1080.0,Intel,Core i3 6006U,2,256,SSD,Intel,HD Graphics 520
60,Dell,Notebook,17.3,16,Windows 10,2.8,69210.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,2256,Hybrid,AMD,Radeon 530
61,Dell,Ultrabook,14.0,8,Windows 10,1.7,46833.12,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
62,Lenovo,Notebook,14.0,8,No OS,1.7,31914.72,1920.0,1080.0,Intel,Core i3 7130U,2.7,256,SSD,Intel,HD Graphics 620
63,Asus,Notebook,14.0,8,Windows 10,1.4,50136.48,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
64,HP,Notebook,15.6,8,Windows 10,1.86,36763.2,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
65,Asus,Ultrabook,15.6,16,Windows 10,1.8,105654.24,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,512,SSD,Nvidia,GeForce GTX 1050 Ti
66,HP,Notebook,15.6,4,Windows 10,1.86,23373.4032,1366.0,768.0,Intel,Core i3 6006U,2,500,HDD,AMD,Radeon 520
67,HP,Notebook,14.0,4,Windows 10,1.44,12201.12,1366.0,768.0,Intel,Celeron Dual Core N3060,1.6,32,SSD,Intel,HD Graphics 400
68,Lenovo,Notebook,15.6,4,Windows 10,1.9,29250.72,1920.0,1080.0,Intel,Core i5 7200U,2.5,1000,HDD,Intel,HD Graphics 620
69,Asus,Gaming,17.3,12,Linux,3.0,50562.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1000,HDD,Nvidia,GeForce GTX 1050 Ti
70,Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,58021.92,2256.0,1504.0,Intel,Core i5 7200U,2.5,128,SSD,Intel,HD Graphics 620
71,Dell,Ultrabook,13.3,8,Windows 10,1.4,50882.4,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,AMD,Radeon 530
72,Dell,Notebook,15.6,8,Windows 10,2.2,46353.6,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,AMD,Radeon 530
73,MSI,Gaming,17.3,8,Windows 10,2.7,58341.6,1920.0,1080.0,Intel,Core i5 7300HQ,2.5,1128,Hybrid,Nvidia,GeForce GTX 1050
74,Acer,Notebook,14.0,8,Windows 10,2.1,20725.92,1366.0,768.0,Intel,Core i3 6006U,2,1000,HDD,Intel,HD Graphics 520
75,Asus,Gaming,15.6,8,Windows 10,2.2,50562.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1000,HDD,Nvidia,GeForce GTX 1050
76,Lenovo,Notebook,15.6,8,No OS,2.2,27652.32,1920.0,1080.0,Intel,Core i5 7200U,2.5,2000,HDD,Intel,HD Graphics 620
77,Dell,Notebook,15.6,8,Windows 10,2.02,45554.4,1920.0,1080.0,Intel,Core i7 8550U,1.8,1128,Hybrid,Intel,UHD Graphics 620
78,Acer,Notebook,15.6,4,Windows 10,2.2,28238.4,1920.0,1080.0,Intel,Core i3 7130U,2.7,1000,HDD,Nvidia,GeForce MX130
79,HP,Notebook,17.3,8,Windows 10,2.5,52054.56,1920.0,1080.0,Intel,Core i5 8250U,1.6,1128,Hybrid,Nvidia,GeForce 930MX
80,Dell,Ultrabook,15.6,8,Windows 10,1.88,58403.4048,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
81,Apple,Ultrabook,12.0,8,macOS,0.92,80452.8,2304.0,1440.0,Intel,Core i5,1.3,512,SSD,Intel,HD Graphics 615
82,HP,Notebook,14.0,8,Windows 10,1.63,45820.8,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,HD Graphics 620
83,Lenovo,Notebook,15.6,4,Windows 10,2.2,21258.72,1920.0,1080.0,AMD,A6-Series 9220,2.5,128,SSD,AMD,R4 Graphics
84,Acer,Notebook,15.6,4,Windows 10,2.1,21045.6,1366.0,768.0,AMD,A9-Series 9420,3,1000,HDD,AMD,Radeon R5
85,Dell,Gaming,15.6,16,Windows 10,2.65,71874.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1128,Hybrid,Nvidia,GeForce GTX 1050 Ti
86,HP,Ultrabook,15.6,8,Windows 10,1.83,37242.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Nvidia,GeForce GTX 940MX
87,HP,Notebook,15.6,8,Windows 10,1.96,31914.1872,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
88,Asus,Gaming,15.6,16,Windows 10,2.2,77202.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1128,Hybrid,Nvidia,GeForce GTX 1060
89,Dell,Ultrabook,13.3,8,Windows 10,1.21,87858.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Intel,UHD Graphics 620
90,Asus,Gaming,15.6,8,Windows 10,2.45,37242.72,1920.0,1080.0,AMD,FX 9830P,3,1000,HDD,AMD,Radeon RX 560
91,Acer,Notebook,15.6,8,Windows 10,2.2,36709.92,1920.0,1080.0,Intel,Core i7 8550U,1.8,1000,HDD,Nvidia,GeForce MX150
92,HP,Notebook,13.3,16,Windows 10,1.49,63776.16,1920.0,1080.0,Intel,Core i7 8550U,1.8,512,SSD,Intel,UHD Graphics 620
93,Dell,Gaming,15.6,8,Windows 10,2.65,63669.6,1920.0,1080.0,Intel,Core i5 7300HQ,2.5,256,SSD,Nvidia,GeForce GTX 1060
94,Asus,Ultrabook,14.0,8,Windows 10,1.25,55890.72,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,Intel,HD Graphics 620
95,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,45128.16,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
96,Dell,Notebook,15.6,8,Linux,2.2,31962.672,1920.0,1080.0,Intel,Core i7 7500U,2.7,1000,HDD,AMD,Radeon R5 M430
97,Dell,Notebook,15.6,4,Linux,2.2,25840.8,1920.0,1080.0,Intel,Core i3 6006U,2,256,SSD,AMD,Radeon R5 M430
98,Asus,Notebook,15.6,6,Windows 10,2.0,30742.56,1920.0,1080.0,Intel,Core i3 7100U,2.4,256,SSD,Nvidia,GeForce 920M
99,HP,Gaming,15.6,12,Windows 10,2.62,66546.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1128,Hybrid,Nvidia,GeForce GTX 1050
100,HP,Notebook,15.6,8,Windows 10,1.91,38308.32,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,AMD,Radeon 530
101,HP,Notebook,15.6,4,Windows 10,2.1,18594.72,1920.0,1080.0,AMD,E-Series E2-9000e,1.5,500,HDD,AMD,Radeon R2
102,Dell,Notebook,15.6,8,Linux,2.2,34472.16,1920.0,1080.0,Intel,Core i5 8250U,1.6,1000,HDD,AMD,Radeon 520
103,HP,Ultrabook,13.3,8,Windows 10,1.38,59620.32,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,Nvidia,GeForce MX150
104,Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,71395.2,2256.0,1504.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
105,HP,Notebook,14.0,6,Windows 10,1.58,35111.52,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Nvidia,GeForce 940MX
106,Lenovo,Notebook,15.6,4,Windows 10,1.85,22105.872,1920.0,1080.0,Intel,Core i3 6006U,2,1000,HDD,Intel,HD Graphics 520
107,Asus,Ultrabook,14.0,8,Windows 10,1.3,63563.04,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,Nvidia,GeForce 940MX
108,MSI,Gaming,15.6,16,Windows 10,2.2,69210.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1050 Ti
109,Lenovo,Notebook,14.0,8,Windows 10,1.58,78854.4,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,Intel,HD Graphics 620
110,Asus,Ultrabook,15.6,16,Windows 10,1.5,67239.36,1920.0,1080.0,Intel,Core i7 8550U,1.8,1256,Hybrid,Nvidia,GeForce MX150
111,Dell,Ultrabook,13.3,8,Windows 10,1.23,73473.12,3200.0,1800.0,Intel,Core i7 7560U,2.4,256,SSD,Intel,Iris Plus Graphics 640
112,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,74538.72,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
113,HP,Notebook,14.0,4,Windows 10,1.63,38468.16,1366.0,768.0,Intel,Core i5 8250U,1.6,500,HDD,Intel,UHD Graphics 620
114,Dell,Ultrabook,13.3,8,Windows 10,1.21,86793.12,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
115,HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,74538.1872,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
116,HP,Notebook,14.0,8,Windows 10,1.63,57755.52,1920.0,1080.0,Intel,Core i7 8550U,1.8,512,SSD,Intel,UHD Graphics 620
117,Dell,Notebook,15.6,8,Windows 10,2.16,60223.98239999999,1920.0,1080.0,Intel,Core i7 8550U,1.8,1256,Hybrid,Nvidia,GeForce 940MX
118,Asus,Notebook,17.3,4,Windows 10,2.0,30049.92,1920.0,1080.0,Intel,Core i3 6006U,2,1000,HDD,Nvidia,GeForce 920MX
119,Asus,Notebook,15.6,8,Windows 10,1.7,59567.04,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Nvidia,GeForce 940MX
120,Acer,Notebook,15.6,6,Windows 10,2.1,25521.12,1920.0,1080.0,Intel,Core i3 7100U,2.4,1000,HDD,Intel,HD Graphics 620
121,MSI,Gaming,15.6,16,Windows 10,1.8,119427.12,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,2256,Hybrid,Nvidia,GeForce GTX 1070
122,Lenovo,Notebook,15.6,8,No OS,2.2,33513.119999999995,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Nvidia,GeForce 940MX
123,HP,Notebook,17.3,16,Windows 10,2.5,67718.88,1920.0,1080.0,Intel,Core i7 8550U,1.8,512,SSD,Nvidia,GeForce 930MX 
124,Acer,Notebook,15.6,4,Windows 10,2.1,24029.28,1366.0,768.0,AMD,A9-Series 9420,3,256,SSD,AMD,Radeon R5
125,HP,Notebook,15.6,4,No OS,1.86,13799.52,1366.0,768.0,Intel,Celeron Dual Core N3060,1.6,500,HDD,Intel,HD Graphics 400
126,HP,Notebook,14.0,8,Windows 10,1.63,43263.36,1920.0,1080.0,Intel,Core i5 8250U,1.6,1000,HDD,Intel,UHD Graphics 620
127,Asus,Notebook,14.0,4,Windows 10 S,1.65,14811.3072,1366.0,768.0,AMD,E-Series 6110,1.5,64,SSD,AMD,Radeon R2
128,Dell,Notebook,17.3,16,Windows 10,2.8,74378.87999999999,1920.0,1080.0,Intel,Core i7 8550U,1.8,2256,Hybrid,AMD,Radeon 530
129,HP,Notebook,17.3,8,Windows 10,2.5,49443.84,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
130,Dell,Notebook,15.6,8,Windows 10,2.36,34045.3872,1366.0,768.0,Intel,Core i5 7200U,2.5,1000,HDD,AMD,Radeon R7 M445
131,Dell,Notebook,15.6,4,Windows 10,2.2,23922.72,1920.0,1080.0,Intel,Core i3 6006U,2,1000,HDD,AMD,Radeon R5 M430
132,Acer,Ultrabook,14.0,8,Windows 10,1.6,47099.52,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Intel,UHD Graphics 620
133,Acer,Notebook,15.6,4,Windows 10,2.2,30476.16,1920.0,1080.0,Intel,Core i3 7130U,2.7,256,SSD,Nvidia,GeForce MX130
134,HP,Notebook,15.6,8,Windows 10,2.05,31861.44,1366.0,768.0,Intel,Core i7 7500U,2.7,1000,HDD,Intel,HD Graphics 620
135,HP,Notebook,14.0,8,Windows 10,1.63,52640.64,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Intel,UHD Graphics 620
136,Lenovo,Notebook,15.6,4,No OS,1.9,13445.7408,1366.0,768.0,Intel,Celeron Dual Core N3350,1.1,1000,HDD,Intel,HD Graphics 500
137,Asus,Gaming,17.3,8,Windows 10,3.0,49976.64,1920.0,1080.0,Intel,Core i5 7300HQ,2.5,1128,Hybrid,Nvidia,GeForce GTX 1050
138,Lenovo,Notebook,15.6,4,No OS,2.2,26586.72,1920.0,1080.0,Intel,Core i5 7200U,2.5,1000,HDD,Nvidia,GeForce 920MX
139,HP,Notebook,13.3,4,Windows 10,1.32,37242.72,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
140,Acer,Notebook,17.3,4,Windows 10,3.0,34898.4,1920.0,1080.0,Intel,Core i3 7130U,2.7,1000,HDD,Nvidia,GeForce MX130
141,Lenovo,Notebook,14.0,8,Windows 10,1.75,59461.5456,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,AMD,Radeon RX 550
142,Lenovo,Gaming,15.6,8,No OS,2.4,46300.32,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,256,SSD,Nvidia,GeForce GTX 1050M
143,Toshiba,Notebook,15.6,4,Windows 10,2.1,32074.56,1366.0,768.0,Intel,Core i5 6200U,2.3,500,HDD,Intel,HD Graphics 520
144,HP,Notebook,15.6,4,Windows 10,1.86,19660.32,1366.0,768.0,AMD,A6-Series 9220,2.5,256,SSD,AMD,Radeon R4 Graphics
145,Asus,Ultrabook,14.0,8,Windows 10,1.25,58554.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Intel,UHD Graphics 620
146,HP,Ultrabook,12.5,8,Windows 10,0.97,107305.92,3840.0,2160.0,Intel,Core M 6Y75,1.2,512,SSD,Intel,HD Graphics 515
147,Asus,Notebook,15.6,4,Windows 10,2.0,18328.32,1920.0,1080.0,Intel,Celeron Dual Core N3350,1.1,1000,HDD,Intel,HD Graphics 500
148,MSI,Gaming,17.3,16,Windows 10,2.9,108105.12,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1070
149,Acer,Notebook,15.6,4,Windows 10,2.1,23816.16,1366.0,768.0,Intel,Core i3 6006U,2,1000,HDD,Intel,HD Graphics 520
150,Dell,Gaming,15.6,16,Windows 10,2.56,66560.5728,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,512,SSD,Nvidia,GeForce GTX 1050
151,Dell,Gaming,15.6,8,Windows 10,2.62,47898.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1000,Hybrid,Nvidia,GeForce GTX 1050
152,Lenovo,Notebook,15.6,4,Windows 10,1.9,26533.44,1366.0,768.0,Intel,Core i5 7200U,2.5,128,SSD,Intel,HD Graphics 620
153,MSI,Gaming,17.3,16,Windows 10,2.8,100699.2,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1060
154,HP,Ultrabook,14.0,4,Windows 10,1.48,57648.96,1920.0,1080.0,Intel,Core i5 7500U,2.7,256,SSD,Intel,HD Graphics 620
155,HP,Notebook,15.6,6,Windows 10,1.91,32980.32,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,AMD,Radeon 520
156,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,33513.119999999995,1920.0,1080.0,Intel,Core i3 7100U,2.4,256,SSD,Intel,HD Graphics 620
157,Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,70063.2,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,HD Graphics 620
158,Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,55890.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Intel,UHD Graphics 620
159,Toshiba,Notebook,15.6,4,Windows 10,2.1,23816.16,1366.0,768.0,Intel,Core i3 6006U,2.2,500,HDD,Intel,HD Graphics 520
160,Asus,Notebook,15.6,4,Windows 10,2.03,21471.84,1366.0,768.0,AMD,A9-Series 9420,3,1000,HDD,AMD,Radeon R5 M420
161,Acer,Notebook,17.3,4,Windows 10,3.0,42890.4,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Nvidia,GeForce MX150
162,Dell,Notebook,15.6,8,Windows 10,2.13,38787.84,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,AMD,Radeon 520
163,Lenovo,Gaming,15.6,16,Windows 10,2.5,57489.12,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,256,SSD,Nvidia,GeForce GTX 1050 Ti
164,Acer,Notebook,15.6,4,Windows 10,2.1,18541.44,1366.0,768.0,Intel,Celeron Dual Core N3350,1.1,1000,HDD,Intel,HD Graphics 500
165,MSI,Gaming,15.6,16,Windows 10,2.4,95850.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1060
166,Acer,Notebook,15.6,4,Windows 10,2.1,19367.8128,1366.0,768.0,Intel,Pentium Quad Core N4200,1.1,1000,HDD,Intel,HD Graphics 505
167,Dell,Gaming,15.6,8,Windows 10,2.56,56502.9072,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1128,Hybrid,Nvidia,GeForce GTX 1050
168,Acer,Notebook,17.3,8,Windows 10,3.0,45501.12,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Nvidia,GeForce MX150
169,HP,Notebook,13.3,4,Windows 10,1.49,40173.12,1920.0,1080.0,Intel,Core i5 8250U,1.6,500,HDD,Intel,UHD Graphics 620
170,Huawei,Ultrabook,13.0,8,Windows 10,1.05,71874.72,2160.0,1440.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
